ロケール名,言語コード,16進値,10進数,ロケール名,言語コード,16進値,10進数
アフリカーンス語,af,0x0436 ,1078,ヒンズー語,hi,0x0439 ,1081
アルバニア語,sq,0x041C ,1052,ハンガリー語,hu,0x040E ,1038
アラビア語 (U.A.E.),ar-ae,0x3801 ,14337,アイスランド語,is,0x040F ,1039
アラビア語 (バーレーン),ar-bh,0x3C01 ,15361,インドネシア語,in,0x0421 ,1057
アラビア語 (アルジェリア),ar-dz,0x1401 ,5121,イタリア語 (イタリア),it,0x0410 ,1040
アラビア語 (エジプト),ar-eg,0x0C01 ,3073,イタリア語 (スイス),it-ch,0x0810 ,2064
アラビア語 (イラク),ar-iq,0x0801 ,2049,日本語,ja,0x0411 ,1041
アラビア語 (ヨルダン),ar-jo,0x2C01 ,11265,韓国語,ko,0x0412 ,1042
アラビア語 (クウェート),ar-kw,0x3401 ,13313,ラトビア語,lv,0x0426 ,1062
アラビア語 (レバノン),ar-lb,0x3001 ,12289,リトアニア語,lt,0x0427 ,1063
アラビア語 (リビア),ar-ly,0x1001 ,4097,マケドニア語 (FYROM),mk,0x042F ,1071
アラビア語 (モロッコ),ar-ma,0x1801 ,6145,マレー語 (マレーシア),ms,0x043E ,1086
アラビア語 (オマーン),ar-om,0x2001 ,8193,マルタ語,mt,0x043A ,1082
アラビア語 (カタール),ar-qa,0x4001 ,16385,ノルウェー語 (ブークモール),no,0x0414 ,1044
アラビア語 (サウジアラビア),ar-sa,0x0401 ,1025,ポーランド語,pl,0x0415 ,1045
アラビア語 (シリア),ar-sy,0x2801 ,10241,ポルトガル語 (ポルトガル),pt,0x0816 ,2070
アラビア語 (チュニジア),ar-tn,0x1C01 ,7169,ポルトガル語 (ブラジル),pt-br,0x0416 ,1046
アラビア語 (イエメン),ar-ye,0x2401 ,9217,レトロマン語,rm,0x0417 ,1047
バスク語,eu,0x042D ,1069,ルーマニア語,ro,0x0418 ,1048
ベラルーシ語,be,0x0423 ,1059,ルーマニア語 (モルドバ),ro-mo,0x0818 ,2072
ブルガリア語,bg,0x0402 ,1026,ロシア語,ru,0x0419 ,1049
カタロニア語,ca,0x0403 ,1027,ロシア語 (モルドバ),ru-mo,0x0819 ,2073
中国語 (中華人民共和国),zh-cn,0x0804 ,2052,セルビア語 (キリル文字),sr,0x0C1A ,3098
中国語 (香港),zh-hk,0x0C04 ,3076,ツワナ語,tn,0x0432 ,1074
中国語 (シンガポール),zh-sg,0x1004 ,4100,スロベニア語,sl,0x0424 ,1060
中国語 (台湾),zh-tw,0x0404 ,1028,スロバキア語,sk,0x041B ,1051
クロアチア語,hr,0x041A ,1050,ソルビア語,sb,0x042E ,1070
チェコ語,cs,0x0405 ,1029,スペイン語 (スペイン),es,0x040A ,1034
デンマーク語,da,0x0406 ,1030,スペイン語 (アルゼンチン),es-ar,0x2C0A ,11274
オランダ語,nl,0x0413 ,1043,スペイン語 (ボリビア),es-bo,0x400A ,16394
オランダ語 (ベルギー),nl-be,0x0813 ,2067,スペイン語 (チリ),es-cl,0x340A ,13322
英語 (オーストラリア),en-au,0x0C09 ,3081,スペイン語 (コロンビア),es-co,0x240A ,9226
英語 (ベリーズ),en-bz,0x2809 ,10249,スペイン語 (コスタリカ),es-cr,0x140A ,5130
英語 (カナダ),en-ca,0x1009 ,4105,スペイン語 (ドミニカ共和国),es-do,0x1C0A ,7178
英語 (アイルランド),en-ie,0x1809 ,6153,スペイン語 (エクアドル),es-ec,0x300A ,12298
英語 (ジャマイカ),en-jm,0x2009 ,8201,スペイン語 (グアテマラ),es-gt,0x100A ,4106
英語 (ニュージーランド),en-nz,0x1409 ,5129,スペイン語 (ホンジュラス),es-hn,0x480A ,18442
英語 (南アフリカ),en-za,0x1C09 ,7177,スペイン語 (メキシコ),es-mx,0x080A ,2058
英語 (トリニダード),en-tt,0x2C09 ,11273,スペイン語 (ニカラグア),es-ni,0x4C0A ,19466
英語 (U.K.),en-gb,0x0809 ,2057,スペイン語 (パナマ),es-pa,0x180A ,6154
英語 (U.S.),en-us,0x0409 ,1033,スペイン語 (ペルー),es-pe,0x280A ,10250
エストニア語,et,0x0425 ,1061,スペイン語 (プエルトリコ),es-pr,0x500A ,20490
ペルシャ語,fa,0x0429 ,1065,スペイン語 (パラグアイ),es-py,0x3C0A ,15370
フィンランド語,fi,0x040B ,1035,スペイン語 (エルサルバドル),es-sv,0x440A ,17418
フェロー語,fo,0x0438 ,1080,スペイン語 (ウルグアイ),es-uy,0x380A ,14346
フランス語 (フランス),fr,0x040C ,1036,スペイン語 (ベネズエラ),es-ve,0x200A ,8202
フランス語 (ベルギー),fr-be,0x080C ,2060,ソト語,sx,0x0430 ,1072
フランス語 (カナダ),fr-ca,0x0C0C ,3084,スウェーデン語,sv,0x041D ,1053
フランス語 (ルクセンブルグ),fr-lu,0x140C ,5132,スウェーデン語 (フィンランド),sv-fi,0x081D ,2077
フランス語 (スイス),fr-ch,0x100C ,4108,タイ語,th,0x041E ,1054
ゲール語 (スコットランド),gd,0x043C ,1084,トルコ語,tr,0x041F ,1055
ドイツ語 (ドイツ),de,0x0407 ,1031,ツォンガ語,ts,0x0431 ,1073
ドイツ語 (オーストリア),de-at,0x0C07 ,3079,ウクライナ語,uk,0x0422 ,1058
ドイツ語 (リヒテンシュタイン),de-li,0x1407 ,5127,ウルドゥー語 (パキスタン),ur,0x0420 ,1056
ドイツ語 (ルクセンブルグ),de-lu,0x1007 ,4103,ベトナム語,vi,0x042A ,1066
ドイツ語 (スイス),de-ch,0x0807 ,2055,コーサ語,xh,0x0434 ,1076
ギリシャ語,el,0x0408 ,1032,イディッシュ語,ji,0x043D ,1085
ヘブライ語,he,0x040D ,1037,ズールー語,zu,0x0435 ,1077
